messy_name,branch_id,official_name
Bda Commercial Avenue,PH-01,Bamenda Commercial Avenue
BAMENDA COMM. AVENUE,PH-01,Bamenda Commercial Avenue
Bamenda  Commercial Avenue,PH-01,Bamenda Commercial Avenue
Bamenda Commercial Ave,PH-01,Bamenda Commercial Avenue
Bamenda Food Mkt,PH-02,Bamenda Food Market
Bda Food Market,PH-02,Bamenda Food Market
BAMENDA FOOD MARKET,PH-02,Bamenda Food Market
Nkwen,PH-02,Bamenda Food Market
Nkwen Jnc,PH-03,Nkwen Junction
NKWEN JUNCTION,PH-03,Nkwen Junction
Bafoussam Marche A,PH-04,Bafoussam Marche A
Bafoussam MarcheA,PH-04,Bafoussam Marche A
BAFOUSSAM MARCHE A,PH-04,Bafoussam Marche A
Douala Akwa,PH-06,Douala Akwa
DOUALA AKWA,PH-06,Douala Akwa
Dla Akwa,PH-06,Douala Akwa
Douala Bonapriso,PH-07,Douala Bonapriso
DLA BONAPRISO,PH-07,Douala Bonapriso
Bonapriso,PH-07,Douala Bonapriso
Douala Ndokoti,PH-08,Douala Ndokoti
NDOKOTI,PH-08,Douala Ndokoti
Dla Ndokoti,PH-08,Douala Ndokoti
YDE BASTOS,PH-09,Yaounde Bastos
Bastos,PH-09,Yaounde Bastos
Yaounde Bastos,PH-09,Yaounde Bastos
Buea Molyko,PH-12,Buea Molyko
Molyko,PH-12,Buea Molyko
BUEA MOLYKO,PH-12,Buea Molyko
KUMBA FIANGO,PH-14,Kumba Fiango
Kumba Fiango,PH-14,Kumba Fiango
Fiango,PH-14,Kumba Fiango
NGAOUNDERE CENTRE,PH-16,Ngaoundere Centre
Ngdere Centre,PH-16,Ngaoundere Centre
Ngaoundere Centre,PH-16,Ngaoundere Centre
YDE MVAN,PH-10,Yaounde Mvan
Mvan,PH-10,Yaounde Mvan
Yaounde Mvan,PH-10,Yaounde Mvan
Etoudi,PH-10,Yaounde Mvan
Yaounde Etoudi,PH-11,Yaounde Etoudi
YDE ETOUDI,PH-11,Yaounde Etoudi
Plateau,PH-11,Yaounde Etoudi
GAROUA PLATEAU,PH-15,Garoua Plateau
Garoua Plateau,PH-15,Garoua Plateau
DSCHANG CAMPUS,PH-05,Dschang Campus
Dschang Campus,PH-05,Dschang Campus
Dschang Univ,PH-05,Dschang Campus
Down Beach,PH-13,Limbe Down Beach
Limbe Down Beach,PH-13,Limbe Down Beach
LIMBE DOWN BEACH,PH-13,Limbe Down Beach
