source,original,reason,candidates
pos,Metformin 850mg Tablets,unresolved,metformin 850mg tabletsmetformin850mgtablet
pos,Quinine 300mg Tablets,unresolved,quinine 300mg tabletsquinine300mgtablet
pos,Metformin 500mg Tablets,unresolved,metformin 500mg tabletsmetformin500mgtablet
pos,AMOXICILLIN 250MG CAPSULES,unresolved,amoxicillin 250mg capsulesamoxicillin250mgcapsule
pos,Glibenclamide 5mg Tablets,unresolved,glibenclamide 5mg tabletsglibenclamide5mgtablet
pos,OLD-1007,unresolved,
pos,Ranitidine 150mg Tablets,unresolved,ranitidine 150mg tabletsranitidine150mgtablet
pos,Chlorhexidine 0.05% Solutions,unresolved,chlorhexidine 0 05 solutionschlorhexidine0 05
pos,Omeprazole 20mg Capsules,unresolved,omeprazole 20mg capsulesomeprazole20mgcapsule
pos,Paracetamol 500mg Tablets,unresolved,paracetamol 500mg tabletsparacetamol500mgtablet
pos,Azithromycin 250mg Tablets,unresolved,azithromycin 250mg tabletsazithromycin250mgtablet
pos,Vitamin C 500mg Tablets,unresolved,vitamin c 500mg tabletsvitamin c500mgtablet
pos,AMLODIPINE 5MG TABLETS,unresolved,amlodipine 5mg tabletsamlodipine5mgtablet
pos,FOLIC ACID 5MG TABLETS,unresolved,folic acid 5mg tabletsfolic acid5mgtablet
pos,RANITIDINE 150MG TABLETS,unresolved,ranitidine 150mg tabletsranitidine150mgtablet
pos,Cetirizine 5mg Tablets,unresolved,cetirizine 5mg tabletscetirizine5mgtablet
pos,ZINC SULPHATE 20MG TABLETS,unresolved,zinc sulphate 20mg tabletszinc sulphate20mgtablet
pos,Erythromycin 250mg Tablets,unresolved,erythromycin 250mg tabletserythromycin250mgtablet
pos,CIPROFLOXACIN 500MG TABLETS,unresolved,ciprofloxacin 500mg tabletsciprofloxacin500mgtablet
pos,Ibuprofen 400mg Tablets,unresolved,ibuprofen 400mg tabletsibuprofen400mgtablet
pos,Ciprofloxacin 500mg Tablets,unresolved,ciprofloxacin 500mg tabletsciprofloxacin500mgtablet
pos,Amlodipine 5mg Tablets,unresolved,amlodipine 5mg tabletsamlodipine5mgtablet
pos,Paracetamol 1000mg Tablets,unresolved,paracetamol 1000mg tabletsparacetamol1000mgtablet
pos,Diclofenac 50mg Tablets,unresolved,diclofenac 50mg tabletsdiclofenac50mgtablet
pos,ORS Sachet 20.5g Sachets,unresolved,
pos,Salbutamol 100mcg Inhalers,unresolved,salbutamol 100mcg inhalerssalbutamol100mcginhaler
pos,OLD-1027,unresolved,
pos,Amoxicillin 250mg Capsules,unresolved,amoxicillin 250mg capsulesamoxicillin250mgcapsule
pos,Loratadine 10mg Tablets,unresolved,loratadine 10mg tabletsloratadine10mgtablet
pos,CHLORHEXIDINE 0.05% SOLUTIONS,unresolved,chlorhexidine 0 05 solutionschlorhexidine0 05
pos,Povidone Iodine 10% Solutions,unresolved,povidone iodine 10 solutionspovidone iodine10
pos,Amoxicillin 500mg Capsules,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,HYDROCHLOROTHIAZIDE 25MG TABLETS,unresolved,hydrochlorothiazide 25mg tabletshydrochlorothiazide25mgtablet
pos,Prednisolone 5mg Tablets,unresolved,prednisolone 5mg tabletsprednisolone5mgtablet
pos,Coartem 80/480mg Tablets,unresolved,coartem 80 480mg tabletscoartem80 480mgtablet
pos,METFORMIN 850MG TABLETS,unresolved,metformin 850mg tabletsmetformin850mgtablet
pos,POVIDONE IODINE 10% SOLUTIONS,unresolved,povidone iodine 10 solutionspovidone iodine10
pos,OLD-1001,unresolved,
pos,Artesunate 60mg Injections,unresolved,artesunate 60mg injectionsartesunate60mginjection
pos,FERROUS SULPHATE 200MG TABLETS,unresolved,ferrous sulphate 200mg tabletsferrous sulphate200mgtablet
pos,TRAMADOL 50MG CAPSULES,unresolved,
pos,PARACETAMOL 1000MG TABLETS,unresolved,paracetamol 1000mg tabletsparacetamol1000mgtablet
pos,Doxycycline 100mg Capsules,unresolved,doxycycline 100mg capsulesdoxycycline100mgcapsule
pos,Hydrochlorothiazide 25mg Tablets,unresolved,hydrochlorothiazide 25mg tabletshydrochlorothiazide25mgtablet
pos,Lisinopril 10mg Tablets,unresolved,lisinopril 10mg tabletslisinopril10mgtablet
pos,Metronidazole 400mg Tablets,unresolved,metronidazole 400mg tabletsmetronidazole400mgtablet
pos,METFORMIN 500MG TABLETS,unresolved,metformin 500mg tabletsmetformin500mgtablet
pos,Artemether-Lumefantrine 20/120mg Tablets,unresolved,artemether lumefantrine 20 120mg tabletsartemether lumefantrine20 120mgtablet
pos,Multivitamin Tablets,unresolved,multivitamin tabletsmultivitamin
pos,CETIRIZINE 5MG TABLETS,unresolved,cetirizine 5mg tabletscetirizine5mgtablet
pos,Tramadol 50mg Capsules,unresolved,
pos,SALBUTAMOL 100MCG INHALERS,unresolved,salbutamol 100mcg inhalerssalbutamol100mcginhaler
pos,COARTEM 80/480MG TABLETS,unresolved,coartem 80 480mg tabletscoartem80 480mgtablet
pos,CEFTRIAXONE 1G INJECTIONS,unresolved,ceftriaxone 1g injectionsceftriaxone1ginjection
pos,OMEPRAZOLE 20MG CAPSULES,unresolved,omeprazole 20mg capsulesomeprazole20mgcapsule
pos,GENTAMICIN 80MG INJECTIONS,unresolved,gentamicin 80mg injectionsgentamicin80mginjection
pos,Zinc Sulphate 20mg Tablets,unresolved,zinc sulphate 20mg tabletszinc sulphate20mgtablet
pos,VITAMIN C 500MG TABLETS,unresolved,vitamin c 500mg tabletsvitamin c500mgtablet
pos,MULTIVITAMIN TABLETS,unresolved,multivitamin tabletsmultivitamin
pos,DICLOFENAC 50MG TABLETS,unresolved,diclofenac 50mg tabletsdiclofenac50mgtablet
pos,LISINOPRIL 10MG TABLETS,unresolved,lisinopril 10mg tabletslisinopril10mgtablet
pos,Ceftriaxone 1g Injections,unresolved,ceftriaxone 1g injectionsceftriaxone1ginjection
pos,INSULIN ISOPHANE 100IU/ML INJECTIONS,unresolved,insulin isophane 100iu injectionsinsulin isophane100iu mlinjection
pos,PREDNISOLONE 5MG TABLETS,unresolved,prednisolone 5mg tabletsprednisolone5mgtablet
pos,Cetirizine 10mg Tablets,unresolved,cetirizine 10mg tabletscetirizine10mgtablet
pos,OLD-1020,unresolved,
pos,IBUPROFEN 400MG TABLETS,unresolved,ibuprofen 400mg tabletsibuprofen400mgtablet
pos,ERYTHROMYCIN 250MG TABLETS,unresolved,erythromycin 250mg tabletserythromycin250mgtablet
pos,CETIRIZINE 10MG TABLETS,unresolved,cetirizine 10mg tabletscetirizine10mgtablet
pos,OLD-1032,unresolved,
pos,Ferrous Sulphate 200mg Tablets,unresolved,ferrous sulphate 200mg tabletsferrous sulphate200mgtablet
pos,ARTESUNATE 60MG INJECTIONS,unresolved,artesunate 60mg injectionsartesunate60mginjection
pos,LORATADINE 10MG TABLETS,unresolved,loratadine 10mg tabletsloratadine10mgtablet
pos,Gentamicin 80mg Injections,unresolved,gentamicin 80mg injectionsgentamicin80mginjection
pos,OLD-1013,unresolved,
pos,OLD-1019,unresolved,
pos,ARTEMETHER-LUMEFANTRINE 20/120MG TABLETS,unresolved,artemether lumefantrine 20 120mg tabletsartemether lumefantrine20 120mgtablet
pos,Insulin Isophane 100IU/ml Injections,unresolved,insulin isophane 100iu injectionsinsulin isophane100iu mlinjection
pos,PARACETAMOL 500MG TABLETS,unresolved,paracetamol 500mg tabletsparacetamol500mgtablet
pos,AZITHROMYCIN 250MG TABLETS,unresolved,azithromycin 250mg tabletsazithromycin250mgtablet
pos,Folic Acid 5mg Tablets,unresolved,folic acid 5mg tabletsfolic acid5mgtablet
pos,QUININE 300MG TABLETS,unresolved,quinine 300mg tabletsquinine300mgtablet
pos,DOXYCYCLINE 100MG CAPSULES,unresolved,doxycycline 100mg capsulesdoxycycline100mgcapsule
pos,ORS SACHET 20.5G SACHETS,unresolved,
pos,METRONIDAZOLE 400MG TABLETS,unresolved,metronidazole 400mg tabletsmetronidazole400mgtablet
pos,GLIBENCLAMIDE 5MG TABLETS,unresolved,glibenclamide 5mg tabletsglibenclamide5mgtablet
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
pos,AMOXICILLIN 500MG CAPSULES,unresolved,amoxicillin 500mg capsulesamoxicillin500mgcapsule
