messy_identifier,product_code
P25565,SKU1001
L14696,SKU1002
M48589,SKU1003
M69693,SKU1004
P49054,SKU1005
U13466,SKU1007
L54975,SKU1008
P39262,SKU1009
M88629,SKU1010
C74164,SKU1011
L72124,SKU1012
P67551,SKU1013
M10583,SKU1015
P92951,SKU1016
P85114,SKU1018
M94920,SKU1019
P23835,SKU1020
P45467,SKU1021
L43869,SKU1022
M60732,SKU1024
L21745,SKU1025
C89434,SKU1026
C62827,SKU1027
M54726,SKU1028
C31633,SKU1029
M66753,SKU1031
L80078,SKU1033
U34378,SKU1034
L14968,SKU1035
M78855,SKU1037
L61989,SKU1038
P36219,SKU1039
U78667,SKU1040
SKU1006,SKU1006
SKU1028,SKU1028
SKU1004,SKU1004
SKU1035,SKU1035
SKU1018,SKU1018
SKU1019,SKU1019
SKU1001,SKU1001
SKU1027,SKU1027
SKU1016,SKU1016
SKU1030,SKU1030
SKU1020,SKU1020
SKU1003,SKU1003
SKU1023,SKU1023
SKU1033,SKU1033
SKU1037,SKU1037
SKU1015,SKU1015
SKU1012,SKU1012
SKU1038,SKU1038
SKU1026,SKU1026
SKU1031,SKU1031
SKU1008,SKU1008
SKU1039,SKU1039
SKU1032,SKU1032
SKU1007,SKU1007
SKU1021,SKU1021
SKU1040,SKU1040
SKU1036,SKU1036
SKU1005,SKU1005
SKU1017,SKU1017
SKU1002,SKU1002
SKU1025,SKU1025
SKU1029,SKU1029
SKU1010,SKU1010
SKU1034,SKU1034
SKU1009,SKU1009
SKU1011,SKU1011
SKU1024,SKU1024
SKU1013,SKU1013
SKU1014,SKU1014
SKU1022,SKU1022
